claim_id,section,claim,figure_at_source,source_title,publisher,source_url,tier,publication_date,retrieved_date,sourcing,confidence,verify_before_use,notes
C001,The 30-second version,a GBP 1.84bn revenue foodservice distributor,"Revenue 1,842.6 GBPm (FY25: 1,715.4)","FY26 Annual Report and Accounts, page 34",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C002,The 30-second version,"supplying 14,200 pubs, care homes and school kitchens from eleven depots and two national ambient hubs","14,200 customer outlets served from 11 depots and 2 ambient hubs","FY26 Annual Report and Accounts, page 8",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C003,The 30-second version,revenue grew 7.4 per cent in the year to 28 February 2026,Revenue growth +7.4 per cent,"FY26 Annual Report and Accounts, page 34",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C004,The 30-second version,adjusted EBITDA margin fell to 3.9 per cent,Adjusted EBITDA margin 3.9 per cent (FY25: 4.6 per cent),"FY26 Annual Report and Accounts, page 36",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,Adjusted basis: excludes GBP 6.1m reorganisation costs.
C005,The 30-second version,"net debt sits at GBP 214m, 2.9 times EBITDA","Net debt 214.0 GBPm, 2.9 times adjusted EBITDA","FY26 Annual Report and Accounts, page 41",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,yes,Moves with seasonal working capital.
C006,At a glance,"GBP 250m RCF and term loan, maturing October 2027","GBP 250m committed facilities, final maturity October 2027","FY26 Annual Report and Accounts, note 22",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C007,The 30-second version,consolidate eleven depots to seven by 2029,eleven depots to seven by FY29,Project Meridian announcement,Harrowgate Provisions Group,https://example.invalid/harrowgate/meridian-announcement,2,2026-06-12,2026-09-15,public,high,no,Spelled-out counts are invisible to the trace script; ledgered deliberately.
C008,The 30-second version,"build a single 480,000 sq ft chilled national distribution centre in the Midlands","circa 480,000 sq ft chilled national distribution centre",Project Meridian announcement,Harrowgate Provisions Group,https://example.invalid/harrowgate/meridian-announcement,2,2026-06-12,2026-09-15,public,high,no,
C009,The 30-second version,"214,000 sq ft and the second largest chilled site in the estate","Wakefield depot, 214,000 sq ft (19,880 sq m)","Lease particulars, Wakefield depot",HM Land Registry,https://example.invalid/harrowgate/wakefield-lease,3,2018-03-24,2026-09-15,public,high,no,
C010,What is driving the business right now,GBP 30m of annual run-rate savings claimed,GBP 30m annual run-rate savings by FY29,Project Meridian announcement,Harrowgate Provisions Group,https://example.invalid/harrowgate/meridian-announcement,2,2026-06-12,2026-09-15,public,medium,yes,"Management target, not audited."
C011,At a glance,71 per cent held by the Harrowgate family trust,Harrowgate Family Trust 71.2 per cent of issued share capital,Confirmation statement,Companies House,https://example.invalid/harrowgate/companies-house,1,2026-03-31,2026-09-15,public,high,no,
C012,At a glance,"GBP 73.4m, 3.9 per cent margin, down from 4.6 per cent",Adjusted EBITDA 73.4 GBPm,"FY26 Annual Report and Accounts, page 36",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C013,At a glance,"GBP 41m, of which GBP 26m property and automation","Capital expenditure 41.2 GBPm, of which property and automation 26.4 GBPm","FY26 Annual Report and Accounts, page 38",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C014,At a glance,"Eleven depots and two ambient hubs, 2.34m sq ft",Total estate 2.34m sq ft across 13 properties,"FY26 Annual Report and Accounts, page 9",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C015,At a glance,"Three freehold, ten leased, weighted unexpired term 4.1 years","3 freehold, 10 leasehold; weighted average unexpired term 4.1 years","FY26 Annual Report and Accounts, note 14",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C016,At a glance,largest sector care homes at 31 per cent of revenue,Care homes 31 per cent of FY26 revenue,"FY26 Annual Report and Accounts, page 35",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C017,At a glance,"4,850, of which 1,180 warehouse and 640 drivers","Average headcount 4,850 (warehouse 1,180, drivers 640)","FY26 Annual Report and Accounts, note 7",Harrowgate Provisions Group,https://example.invalid/harrowgate/ar2026.pdf,1,2026-05-21,2026-09-15,public,high,no,
C018,What is driving the business right now,management has guided to 4.5 per cent by FY28,targeting 4.5 per cent adjusted EBITDA margin by FY28,"FY26 results presentation, slide 18",Harrowgate Provisions Group,https://example.invalid/harrowgate/fy26-results,2,2026-05-21,2026-09-15,public,medium,yes,Guidance; re-check before the meeting.
C019,What is driving the business right now,Adjusted EBITDA margin fell 70 basis points in FY26,margin down 70 basis points year on year,"FY26 results presentation, slide 6",Harrowgate Provisions Group,https://example.invalid/harrowgate/fy26-results,2,2026-05-21,2026-09-15,public,high,no,
C020,What is driving the business right now,"chilled capacity as ""effectively full at peak""","""our chilled capacity is effectively full at peak""",FY26 results call transcript,Harrowgate Provisions Group,https://example.invalid/harrowgate/fy26-transcript,2,2026-05-21,2026-09-15,public,high,no,"Verbatim quote, Supply Chain Director."
C021,The industry backdrop,"Purpose-built chilled units of 400,000 sq ft and above rarely come to the market speculatively","no speculative chilled unit above 400,000 sq ft delivered in the UK, 2021 to 2025","UK Logistics Chilled Supply, 2026",CBRE Research,https://example.invalid/harrowgate/cbre-research-chilled,5,2026-04-30,2026-09-15,public,medium,no,
C022,Where the next node probably goes,"Harrowgate's outlet base grows from 14,200 today to roughly 16,400 by 2029 on its own five-year rate","outlet base 14,200 at FY26; five-year compound rate applied over 30 months gives 16,400","CBRE I&L next-node forecast, node_forecast.py run of 15 September 2026",CBRE Industrial & Logistics (internal analysis),https://example.invalid/cbre/harrowgate-node-forecast.txt,5,2026-09-15,2026-09-15,proprietary,low,yes,"Synthetic worked example: every figure invented. CBRE internal analysis, a projection and not a disclosure. Attribute as CBRE analysis, never as a company figure."
C023,Where the next node probably goes,"comparable distributors run roughly 2,000 outlets per chilled node","outlets per chilled node across three named comparators: 1,700, 2,000 and 2,450; median 2,000","CBRE I&L next-node forecast, node_forecast.py run of 15 September 2026",CBRE Industrial & Logistics (internal analysis),https://example.invalid/cbre/harrowgate-node-forecast.txt,5,2026-09-15,2026-09-15,proprietary,low,yes,Synthetic worked example. The spread matters more than the median: a comparator running an outsourced chilled network is not the same operating model.
C024,Where the next node probably goes,"run as at 2020 against Harrowgate's own 2021 consolidation, the model picked the right cluster and placed the site 38 miles from where the business actually went",back-test as at 2020.0: cluster correct; outlet-centroid error 38 miles,"CBRE I&L next-node forecast, node_forecast.py run of 15 September 2026",CBRE Industrial & Logistics (internal analysis),https://example.invalid/cbre/harrowgate-node-forecast.txt,5,2026-09-15,2026-09-15,proprietary,low,yes,"Synthetic worked example. One observation, so the location rule is a hypothesis and not a calibration. Carry the error in the brief as the forecast's own error bar."
C025,Where the next node probably goes,inside a chilled network the distance threshold collapses to roughly 90 minutes of drive time rather than a driver day,"chilled service window assumption: 90 minutes drive time, against a 700 km road-day proxy for ambient","CBRE I&L next-node forecast, node_forecast.py run of 15 September 2026",CBRE Industrial & Logistics (internal analysis),https://example.invalid/cbre/harrowgate-node-forecast.txt,5,2026-09-15,2026-09-15,proprietary,low,yes,"Synthetic worked example. A sector parameter, not an observation: see the sector notes in reference/node-forecaster.md. State it as an assumption in the room."
